epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0227,1.4831,2.60733,1.4801,0.42514,0.58333,0.6609,0.39839,1.19067,2.90241,1.50268,0.000648649,0.000648649,0.000648649
2,127.194,1.33977,1.91961,1.34354,0.48858,0.5,0.58666,0.38001,1.43985,2.27799,1.66069,0.00128927,0.00128927,0.00128927
3,205.169,1.46127,2.02466,1.40388,0.5164,0.44674,0.50582,0.27847,1.4577,2.46387,1.80453,0.0019035,0.0019035,0.0019035
4,267.761,1.49377,2.04386,1.44238,0.28484,0.25,0.20221,0.11024,2.55045,4.70061,2.84438,0.0018812,0.0018812,0.0018812
5,329.794,1.44647,1.80997,1.39306,0.56154,0.58333,0.62989,0.33452,1.44283,4.08288,1.55312,0.0018416,0.0018416,0.0018416
6,387.429,1.46597,1.85718,1.43164,1,0.8947,0.955,0.58481,1.33788,2.24137,1.49127,0.001802,0.001802,0.001802
